tag,name,star,people,author,money,country,year
诗歌,寂然的狂喜,7.5,387,威廉·巴特勒·叶芝、科尔姆·托宾理查德·戈尔曼依婉·伯兰李昶等,98.0,爱尔兰,2016
诗歌,我们时代的诗人,8.4,116,陈东东,36.0,中,2017
诗歌,爱是地狱冥犬,7.8,432,布考斯基,60.0,美,2017
诗歌,泰戈尔诗集,8.9,8274,罗宾德拉纳特·泰戈尔,25.0,印,2004
诗歌,张枣的诗,8.7,1739,张枣,20.0,中,2010
诗歌,疑问集,8.3,1349,巴勃罗•聂鲁达,25.0,智利,2015
诗歌,牧歌,8.7,367,维吉尔,24.0,古罗马,2009
诗歌,另一个，同一个,9.0,226,博尔赫斯,35.0,阿根廷,2016
散文,一片叶子下生活,9.1,69,刘亮程,38.0,中,2017
小说,幽灵,8.6,2209,尤·奈斯博,42.0,挪,2017
小说,金色梦乡,9.0,13537,伊坂幸太郎,35.0,日,2010
小说,2666,8.7,2504,罗贝托·波拉尼奥,98.0,智利,2012
小说,一句顶一万句,8.7,21065,刘震云,29.8,中,2009
小说,一个人的朝圣,8.1,35512,蕾秋·乔伊斯,32.8,英,2013
小说,挪威的森林,8.0,198812,村上春树,18.8,日,2001
小说,被占的宅子,8.4,961,胡利奥·科塔萨尔,49.5,阿根廷,2017
小说,心是孤独的猎手,8.5,23786,卡森·麦卡勒斯,25.0,美,2005
小说,永恒的边缘,7.8,5110,肯·福莱特,168.0,英,2017
小说,1Q84 BOOK 1,8.3,82340,村上春树,36.0,日,2010
小说,海风中失落的血色馈赠,9.0,3515,阿利斯泰尔·麦克劳德,20.0,加拿大,2015
小说,佛罗伦萨的神女,8.4,981,萨曼·鲁西迪,45.0,英,2017
小说,没有你，什么都不甜蜜,7.8,401,约恩·卡尔曼·斯特凡松,45.0,冰岛,2017
小说,时光倒流的女孩,7.9,2153,加·泽文,38.0,美,2017
小说,清明上河图密码,8.2,9370,冶文彪,49.9,中,2015
小说,查特莱夫人的情人,7.6,5991,劳伦斯,24.0,英,2004
小说,过于喧嚣的孤独,8.8,7538,赫拉巴尔,22.0,捷克,2011
文学,岛上书店,7.6,86106,加布瑞埃拉·泽文,35.0,美,2015
文学,追忆似水年华（上下册）,9.1,2448,马塞尔·普鲁斯特,68.0,法国,2001
文学,美丽新世界,8.6,12445,阿道司·赫胥黎,20.0,英,2005
文学,一只特立独行的猪,8.8,31253,王小波,18.8,中,2006
文学,时间的果,8.3,1370,黎戈,39.8,中,2017
文学,一个叫欧维的男人决定去死,9.1,13109,弗雷德里克·巴克曼,35.0,瑞典,2015
文学,再度觉醒,8.9,882,普里莫·莱维（PrimoLevi）,39.0,意,2016
文学,禅与摩托车维修艺术,8.3,8299,罗伯特·M.波西格,36.0,美,2011
文学,我的职业是小说家,8.3,10188,村上春树,45.0,日,2017
文学,悟空传,8.4,64905,今何在,14.8,中,2001
文学,永恒的边缘,7.8,5118,肯·福莱特,168.0,英,2017
文学,一个陌生女人的来信,8.7,49370,斯台芬·茨威格,20.0,奥,2007
文学,瓦尔登湖,8.4,23993,梭罗,11.0,美,2006
文学,不属于我们的世纪,8.3,1736,马修·托马斯,46.0,美,2016
文学,倾城之恋,8.5,93613,张爱玲,11.0,中,1997
文学,情人,8.1,91494,玛格丽特·杜拉斯,20.0,法,2005
文学,人间草木,9.0,6298,汪曾祺,20.0,中,2005
文学,博尔赫斯小说集,9.2,7973,博尔赫斯,26.0,阿根廷,2005
散文,美好的七年,8.5,845,埃特加·凯雷特,25.0,以色列,2016
散文,理想的下午,7.8,14408,舒国治,27.0,中,2010
散文,一生里的某一刻,8.1,1939,张春,38.0,中,2015
散文,云上,8.6,217,不良生,39.5,中,2017
散文,哥伦比亚的倒影,8.4,7303,木心,22.0,中,2006
散文,二十个站台,8.5,55,江汀,36.0,中,2017
散文,五味,8.8,2681,汪曾祺,13.0,中,2005
散文,水蛇腰,9.4,734,汪曾祺,33.0,中,2011
散文,万水千山走遍,8.8,16319,三毛,13.8,中,2003
散文,厚积落叶听雨声,9.1,433,朱光潜,39.8,中,2016
散文,居山而行,7.8,415,雲姑,45.0,中,2017
散文,金蔷薇,9.0,2590,康·帕乌斯托夫斯基,15.0,俄,2007
散文,木心作品八种,9.3,1923,木心,160.0,中,2009
散文,生活的艺术,8.3,3893,林语堂,24.8,中,2006
散文,尘土,7.8,828,贾行家,39.0,中,2016
散文,当我谈跑步时我谈些什么,8.1,49614,村上春树,25.0,日,2009
诗歌,爱丽尔,8.5,335,西尔维娅·普拉斯,32.0,美,2015
诗歌,叶芝诗集（上中下）,8.6,1578,叶芝,49.0,爱尔兰,2003
诗歌,春天与阿修罗,8.2,421,宫泽贤治,38.0,日,2015
诗歌,我们所有人,8.4,740,雷蒙德·卡佛,58.0,美,2013
诗歌,石川啄木诗歌集,9.0,279,石川啄木,1.4,日,1962
诗歌,金子美铃全集,8.8,43,金子美铃,68.0,日,2017
诗歌,我纷纷的情欲,8.1,3631,木心,28.0,中,2007
诗歌,博尔赫斯全集：诗歌卷 (上册),9.2,138,豪·路·博尔赫斯,30.0,阿根廷,2006
诗歌,周夢蝶詩文集,9.5,201,周夢蝶,1160.0,中,2009
诗歌,死于黎明：洛尔迦诗选,8.6,318,费德里科•加西亚•洛尔迦（FedericoGarcíaLorca）,48.0,西,2016
诗歌,穆旦诗文集（全二卷）,9.4,225,穆旦,45.0,中,2006
诗歌,春天 得以安葬,8.2,386,高银,45.0,韩,2016
诗歌,匙河集,8.1,33,马斯特斯,66.0,美,2017
诗歌,痖弦诗集,8.1,499,痖弦,59.0,中,2016
诗歌,草叶集,8.0,1583,瓦尔特.惠特曼,16.8,美,2004
诗歌,太阳释放出我灵魂里所有的怪兽,8.0,67,翁贝托·萨巴（UmbertoSaba）,49.8,意,2017
小说,我遇见了人类,7.9,975,马特·海格,42.0,英,2017
小说,许三观卖血记,8.7,71057,余华,16.8,中,1998
小说,当我们谈论爱情时我们在谈论什么,7.8,34317,雷蒙德·卡佛,22.0,美,2010
小说,失明症漫记,9.0,4373,若泽·萨拉马戈,29.5,葡,2014
小说,陆犯焉识,8.8,23383,严歌苓,35.0,中,2011
小说,喜宝,8.0,46690,亦舒,22.0,中,2007
小说,北方大道,7.8,1851,李静睿,38.0,中,2017
小说,生活与命运,9.3,899,瓦西里·格罗斯曼,118.0,俄罗斯,2015
小说,一桩事先张扬的凶杀案,8.7,13316,加西亚·马尔克斯,25.0,哥伦比亚,2013
小说,十一种孤独,8.2,15340,理查德·耶茨、RichardYates,20.0,美,2010
小说,永恒的终结,9.0,14224,艾萨克·阿西莫夫,32.0,美,2014
小说,穆斯林的葬礼,8.2,77390,霍达,32.0,中,1988
小说,一个陌生女人的来信,8.7,49336,斯台芬·茨威格,20.0,奥,2007
小说,毛姆短篇小说精选集,9.1,5727,威廉·萨默塞特·毛姆,36.0,英,2012
小说,看不见的城市,8.8,27611,伊塔洛·卡尔维诺,16.0,意大利,2006
小说,面纱,8.7,16280,W.萨默塞特·毛姆,32.0,英,2012
小说,偷影子的人,7.8,58811,马克·李维,29.8,法,2012
小说,棋王,8.7,15281,阿城,13.0,中,1999
小说,钓鱼的男孩,8.3,2362,奇戈希·奥比奥玛,36.0,尼日利亚,2016
诗歌,杜弗的动与静,8.7,108,伊夫·博纳富瓦,52.0,法,2017
文学,可怕的中年,7.6,638,贾森·黑兹利、[英,128.0,英,2017
文学,傲慢与偏见,8.8,91668,奥斯丁,13.0,英,1993
文学,源泉,9.0,5437,安·兰德,49.8,美,2005
文学,天才的编辑,9.1,905,A.司各特·伯格,69.0,美,2017
文学,2666,8.7,2505,罗贝托·波拉尼奥,98.0,智利,2012
文学,一句顶一万句,8.7,21076,刘震云,29.8,中,2009
文学,不可思议的朋友,9.0,1141,田岛征彦,45.0,日,2017
文学,我为你洒下月光,8.3,502,简媜,48.0,中,2017
文学,这样写出好故事,8.1,625,詹姆斯·斯科特·贝尔,38.0,美,2017
文学,被占的宅子,8.4,961,胡利奥·科塔萨尔,49.5,阿根廷,2017
文学,心是孤独的猎手,8.5,23789,卡森·麦卡勒斯,25.0,美,2005
文学,人类的群星闪耀时,8.7,13713,斯蒂芬·茨威格,18.0,奥,2004
文学,挪威的森林,8.0,198875,村上春树,18.8,日,2001
文学,查令十字街84号,8.3,28048,海莲·汉芙,18.0,美,2005
散文,灵魂只能独行,8.4,4367,周国平,28.0,中,2009
散文,病隙碎笔,8.8,6930,史铁生,25.0,中,2006
散文,荷西 我爱你,9.2,2359,三毛,1.95,中,1986
散文,人间食粮,8.4,1467,安德烈·纪德,28.0,法,2007
散文,认得几个字,8.2,6471,张大春,46.0,中,2009
散文,温柔的夜,9.1,8807,三毛,28.0,中,2007
散文,沿着塞纳河到翡冷翠,8.7,4080,黄永玉,38.0,中,2006
散文,有鹿来,7.9,1231,苏枕书,49.8,中,2016
散文,把生命浪费在美好的事物上,8.0,3118,吴晓波,42.0,中,2015
散文,青灯,8.3,9633,北岛,16.0,中,2008
散文,一定要，爱着点什么,8.2,284,汪曾祺,58.0,中,2017
散文,无尽绿,8.1,722,宋乐天,55.0,中,2015
诗歌,给孩子读诗,8.2,732,果麦,68.0,中,2016
